plesalec,plesalka,drzava,kategorija,idplesalca
Frank Mahrt,Hilke Mahrt,Germany,Senior II,Frank_Mahrt-6f2c59ee-ebe4-4426-b2e6-9e68012c8a0a
Herbert Bauer,Sylvilyn Bauer,Germany,Senior IV,Herbert_Bauer-55f09478-aa16-47b2-8116-9e720053422c
Mario Thamm,Miriam Gottschalk,Germany,Senior II,Mario_Thamm-a7086e12-8d46-466f-9a06-9e720053423e
Martin Lutz,Sabine Meusel,Germany,Senior I,Martin_Lutz-3d980878-ff85-4a97-8722-9e1401604063
Andreas Grom,Tanja Grom,Germany,Senior I,Andreas_Grom-9e6c77e8-57fb-4efc-93df-9e1401307e77
Mariusz Olczyk,Marta Kulag,Poland,Adult,Mariusz_Olczyk-0c6b0ac6-aa12-4a1b-8eb3-a03200459ff7
Marc Marquez,Irina Arnau,Spain,Adult,Marc_Marquez-add72961-f5cb-48ee-9c15-9fd50043b1b2
Paolo Vesentini,Federica Verga,Italy,Adult,Paolo_Vesentini-231bd377-1a5a-4586-804b-9fce00437ba3
Alejandro Jimenez Garabaya,Paula Braojos Lopez,Spain,Adult,Alejandro_Jimenez_Garabaya-ef05fab4-9554-4e9f-83dd-a14000d9dc69
Pawel Sieradzki,Iwona Olszewska,Poland,Adult,Pawel_Sieradzki-ef4825ce-d001-4172-81a6-9e140124f33f
Davide Gasparotto,Alessandra Zanella,Italy,Adult,Davide_Gasparotto-924ddac9-9614-4d2e-a1ba-9e140131a2f3
Pawel Matczak,Monika Chojnacka,Poland,Adult,Pawel_Matczak-1e3f2d2e-18ec-4877-af88-9e140133b14e
Maciej Cwiek,Agnieszka Cwiek,Poland,Senior I,Maciej_Cwiek-1447f217-2cbf-4fbe-aa70-a10900a05bb7
Lovro Perakovic,Lea Stanic,Croatia,Junior II,Lovro_Perakovic-686ddf80-c123-43ac-b597-a0ce004395fe
Larry Yip,Sy Jung,Canada,Senior III,Larry_Yip-9ae2be1b-c6fe-44ba-ab75-9e86005341df
Vladimir Martintsov,Maria Gladkikh,Canada,Adult,Vladimir_Martintsov-5dbf4d43-6782-445f-a987-9e86005341ed
Viktor Szabo,Vanja Vujic,Croatia,Adult,Viktor_Szabo-a9df2e5c-c9d7-494e-a827-9e14012cffd9
Kyohei Yamada,Saori Akiyama,Japan,Adult,Kyohei_Yamada-f6d538b7-9225-4978-a727-9f52004393bd
Norbert Csortos,Veronika Belkovics,Hungary,Adult,Norbert_Csortos-4f4a3657-0bac-45c4-91f2-9e8600534301
Heinrich Sievert,Angela Sievert,Germany,Senior II,Heinrich_Sievert-4bce2e3a-5c0a-4793-9ae0-9e9100b1e7b1
Sebastian Bindewald,Francesca Maria Zeller,Germany,Junior II,Sebastian_Bindewald-b7a5374a-0f8e-4df5-994f-9e9100b1d476
David Jenner,Elisabeth Tuigunov,Germany,Junior I,David_Jenner-21e0110c-22d9-4b2e-b35c-9e9100b1d3ea
Alexey Chebotar,Ekaterina Khoreva,Russian Federation,Adult,Alexey_Chebotar-426d878b-b0fd-47de-83cc-9e1401370e94
Felix Sauer,Alexandra Oldag,Germany,Senior II,Felix_Sauer-1b2c9760-54ad-4fcf-9eb1-9e14015b412a
Dirk Pape,Martina Glosemeyer,Germany,Senior II,Dirk_Pape-84b1c225-4412-4381-98b7-9e140156d457
Pavel Mencik,Gabriela Dolezalova,Czech Republic,Senior I,Pavel_Mencik-066c4390-30a9-43aa-945b-9e14012959c3
Grigor Saranditi,Lizi Papunidze,Georgia,Youth,Grigor_Saranditi-e3e0971b-ae51-459d-bf1e-a1040043ba33
Alexey Yashchenko,Polina Boldovskaya,Russian Federation,Adult,Alexey_Yashchenko-eb2242e0-7c95-4c5a-8059-9f8b0043f792
Jemali Glonti,Marina Galda,Georgia,Adult,Jemali_Glonti-362028a8-5c62-428f-af47-a06a004489af
Evgeny Nikitin,Anastasia Miliutina,Russian Federation,Adult,Evgeny_Nikitin-14157c2c-9945-43bb-95d1-9ffe00442531
Leonardo Lini,Mia Gabusi,Italy,Youth,Leonardo_Lini-61b55531-518d-400c-83f1-a0a90043ba81
Mateusz Modzelewski,Aleksandra Karpinska,Poland,Adult,Mateusz_Modzelewski-8acee8d3-83ed-4e7a-ab6f-9e140121ecaa
Oleg Yakushev,Victoria Yakusheva,Russian Federation,Adult,Oleg_Yakushev-6ff5c9ab-76f5-4498-996d-9e140121b8b5
Paul Brown,Cathie Penalagan,Canada,Senior III,Paul_Brown-5cfe4789-bb6a-41af-b335-9e92012bc1ee
Gerald Jamili,Cherry Clarice Parcon,Philippines,Adult,Gerald_Jamili-66914bed-d281-49cb-84fe-9e14012a660a
Salvatore Gagliardi,Simona Babini,Italy,Adult,Salvatore_Gagliardi-d664659c-4493-44cd-9e07-a19700e97aab
YongHyun Choi,EunYoung Park,South Korea,Adult,YongHyun_Choi-d110c8f0-2444-4c3c-9428-9ee4014081b8
DongChan Kim,ChaeEun Kim,South Korea,Adult,DongChan_Kim-f172a54c-afb6-4f32-a42c-9ee40140809f
Yasuhiro Nishimura,Mai Otake,Japan,Adult,Yasuhiro_Nishimura-c028de37-5139-442d-8027-a00d00440664
Artem Iglikov,Olga Lobukhova,Kazakhstan,Adult,Artem_Iglikov-6af6960c-a6b0-4c0a-9c84-a091004360a0
Bernd Stephan,Ina Stephan,Germany,Senior III,Bernd_Stephan-0e4345bb-ef7f-4cb9-bf9d-9e14015a31b0
Artem Shapovalov,Margarita Rastorgueva,Russian Federation,Adult,Artem_Shapovalov-7abf6ef6-714e-4ba0-b0d2-9f2600435e03
Helmut Bresch,Angelika Nothdurft,Germany,Senior III,Helmut_Bresch-eedc5f58-d969-4823-a2aa-9ea300430db1
Martin Pragr,Denisa Galandzarova,Czech Republic,Adult,Martin_Pragr-bc8b7a8c-5e89-4991-bbaa-9ea6004324ed
Siegfried Klein,Maria Klein,Germany,Senior II,Siegfried_Klein-ff681c08-5bee-498f-88d5-9ea9004325b7
Manfred Lerch,Andrea Lerch,Germany,Senior III,Manfred_Lerch-8f954491-b4e9-4298-bc89-9ea9004325c6
Joseph Pankert,Alice Pankert,Germany,Senior III,Joseph_Pankert-c11f4ebf-28c9-4480-b0ff-9ea9004325ca
Klaus-Dieter Scholz,Sonja Scholz,Germany,Senior III,Klaus-Dieter_Scholz-b7a3c28d-c7ba-46a7-aee7-9ea9004325cf
Thomas Welter,Cornelia Welter,Germany,Senior III,Thomas_Welter-60f6fef9-0ba7-4664-b236-9ea9004325d4
Bernd Pfoertner,Gerlinde Pfoertner,Germany,Senior III,Bernd_Pfoertner-321b139f-ce8d-4e0f-978a-9ea9004331e4
Valerio Aiuto,Rosetta Aiuto,Germany,Senior II,Valerio_Aiuto-7cc7f1cb-b4d6-40c5-b999-9eaa0042a145
Gerd Herzog,Gerda Herzog,Germany,Senior II,Gerd_Herzog-4ee79454-008a-4896-9b95-9eb400533960
Jakub Musalek,Lucie Stankova,Czech Republic,Adult,Jakub_Musalek-72ecd606-189a-4298-a009-9eb400533924
Tobias Schuetze,Ilka Schuetze,Germany,Senior II,Tobias_Schuetze-de952c35-2af5-47d9-9839-9eb701071822
Radek Pipal,Jana Pazderova,Czech Republic,Senior II,Radek_Pipal-853cc5e0-7d4d-4e11-aeed-9e140132ed38
Alexander Voges,Laura Christin Pohlmann,Germany,Adult,Alexander_Voges-b73428fa-5feb-498a-ad4b-9e14012fa353
Zbynek Deyl,Martina Deylova,Czech Republic,Senior I,Zbynek_Deyl-3aebff3b-fdfb-4d8e-9aea-9e140129bd1f
Vasily Kirin,Ekaterina Prozorova,Austria,Adult,Vasily_Kirin-82915fcc-c1e2-4b49-a6ce-9e14012b7c77
Dmitri Kolobov,Signe Busk,Denmark,Adult,Dmitri_Kolobov-2a34a5cd-6b16-4234-ad88-9e1401215b6f
Andrea Roccatti,Flaminia Iannone,Italy,Adult,Andrea_Roccatti-eb5ccd6f-d13a-4f20-94e1-a0df0043a580
Jozef Conka,Zuzana Bosanska,Slovakia,Adult,Jozef_Conka-e6bc1f52-e2dc-462a-ab50-9e14012b4a31
Ratan Mihai,Szocs Anita Ingrid,Romania,Youth,Ratan_Mihai-f91ce0fc-df62-4454-961a-a3af00c1fc14
Matej Gajdosik,Barbora Budosova,Slovakia,Youth,Matej_Gajdosik-3782f7aa-bc49-4f0d-b653-a0ee00974556
Vojtech Mohyla,Adela Sticova,Czech Republic,Adult,Vojtech_Mohyla-6ddb9c06-806c-4f79-8fb4-a0ef00436d8f
Petr Kotek,Viktorie Kuncova,Czech Republic,Adult,Petr_Kotek-11587c01-499c-47d4-a1e1-9fe80043e3c6
Clemens Kuprian,Eva-Christina Krzizek,Austria,Adult,Clemens_Kuprian-93087a27-aec3-4a42-9baa-a25c00cb2c1f
Cheuk Fung Ng,Tsz Yan Tsang,Hong Kong,Adult,Cheuk_Fung_Ng-82126dd9-6e58-4c2e-b8e7-a1b2007eccc4
Burkhard Wagener,Binja Svea Rassner,Germany,Senior I,Burkhard_Wagener-66674020-db78-439f-9dac-9e140129a624
Marcello Nuzio,Anna Martynova,Italy,Adult,Marcello_Nuzio-18c67acf-d6f8-4ded-bc54-9e140121d91f
Baran Adisen,Cigdem Guler,Turkey,Adult,Baran_Adisen-57370742-ba40-4cbd-b45c-9e1401256be2
Kirill Alexandrov,Anastasia Dubrovskaya,Russian Federation,Adult,Kirill_Alexandrov-722810d0-b0e9-4540-a930-9e1401245804
David Koglin,Stephanie Goetz,Germany,Adult,David_Koglin-e42aeb7b-4e3f-4b54-af17-9e14012407fb
Hagen Winterfeldt,Katrin Winterfeldt,Germany,Senior II,Hagen_Winterfeldt-bee4347a-e6be-410f-b4cd-9ebf00538036
Ingo Carstens,Sandra Schneider,Germany,Senior II,Ingo_Carstens-e1523166-90da-459d-a64b-9ebc00536456
Helmut Holler,Silvia Holler,Austria,Senior II,Helmut_Holler-445e65d2-7d61-43ca-bacb-9ec00053851e
Richard Hollaus,Karina Hollaus,Austria,Senior I,Richard_Hollaus-5103acd4-4069-4335-9959-9ec000538507
Eric Kinsky,Jutta Schmid,Austria,Senior III,Eric_Kinsky-031d4779-2826-4155-90b9-9ec000538515
Mikhail Levykin,Svetlana Sokolova,Russian Federation,Senior II,Mikhail_Levykin-d7db63bc-f1e8-4763-bdd8-9f2600435df5
Hin Hong Lam,Chloe Ho,Hong Kong,Adult,Hin_Hong_Lam-cf23efc6-46bc-4f26-b3a2-9f1e004373e8
Jose Romero,Veronica Padron,Ecuador,Adult,Jose_Romero-02c2c7ae-53ac-479c-bfa7-9f57004411a0
Marcos da Costa,Larissa Silva Cunha da Costa,Brazil,Adult,Marcos_da_Costa-d4ae1d53-e5a6-47eb-975c-9f57004411cb
David Castanon,Dulce Montserrat Osorno Llanos,Mexico,Adult,David_Castanon-c583ecd7-73dd-4c7d-9f24-9f57004411d9
Dieter Pioch,Christiane Pioch,Germany,Senior III,Dieter_Pioch-217ae13e-e2c0-42c2-b438-9ed400431ec7
Sergej Wetzel,Anna Wetzel,Germany,Senior III,Sergej_Wetzel-4f1b357e-5055-43f8-b021-9ed400431ed5
Dmitry Perepelkin,Ekaterina Efimenko,Russian Federation,Adult,Dmitry_Perepelkin-4cc1d9ce-23c7-4b3d-8201-9ed500431c7b
Ulli Parchert,Constanze Schumann,Germany,Senior I,Ulli_Parchert-d1dcbbbe-7e85-4326-ad8e-9e1401365c8e
Valentin Pozdniakov,Yana Cherepanova,Russian Federation,Adult,Valentin_Pozdniakov-f46df78c-6b3e-4700-97f2-9e140137c47a
Oleksandr Honcharov,Araceli Patrucco,Argentina,Adult,Oleksandr_Honcharov-79552659-152f-4bc8-b4d0-9e1401341966
Cristian Camacho,Marcela Salazar,Ecuador,Adult,Cristian_Camacho-32d5cfd7-3d3e-4f36-9f24-9e1401341a4b
Karl Hallberg,Matilda Johansson,Sweden,Adult,Karl_Hallberg-b1e20074-e662-408c-a377-9f600157dd20
Roberto Coni,Paola Bogliolo,Italy,Senior II,Roberto_Coni-d8bf24f4-7d21-4f37-b628-a15700f822f3
Daniele Picchiri,Cinzia Mura,Italy,Senior II,Daniele_Picchiri-073d68dd-1bb7-463d-a1de-a30000e55896
Marcin Wiatrowicz,Izabela Adamiec,Poland,Adult,Marcin_Wiatrowicz-fa74986e-4de4-4ee7-81a1-9e1401343a53
Ostap Nemelivskyy,Nataliya Marko,Ukraine,Adult,Ostap_Nemelivskyy-8776e717-53d1-49fc-8473-a25b00e25818
Michael Milli,Margherita Pellettieri,Italy,Adult,Michael_Milli-fb55ade0-2e5d-49e7-8189-9e140136f90b
Michal Cernek,Sabrina Weisse,Austria,Adult,Michal_Cernek-ed305625-1b1a-4899-b209-9ec40053a49e
Kurt Mangard,Helga Mangard,Austria,Senior IV,Kurt_Mangard-95680ed8-1b81-40be-b57a-9ec40053a4a7
Lothar Schuler,Bianca Schuler,Austria,Senior III,Lothar_Schuler-ceea4eaa-3454-4e59-b004-9ec40053a4b1
Mariusz Zwolinski,Diana Kuling,Poland,Adult,Mariusz_Zwolinski-9091e808-6fbc-4073-91ba-9e140120fce2
Zoltan Kiss,Ramona Bolla,Hungary,Senior I,Zoltan_Kiss-fe6910a7-c423-4787-83de-9ee1004370e8
Kushtrim Demolli,Friederike Foth-Rosenhagen,Germany,Adult,Kushtrim_Demolli-820cd04b-6e77-4d7b-86ad-9e7200534230
Jose Luis Simaes,Catarina Macedo,Portugal,Adult,Jose_Luis_Simaes-d10d6512-0420-4fc2-b98a-a04e00435f95
Deniz Gelibolu,Melisa Atlama,Turkey,Youth,Deniz_Gelibolu-8333d685-e2f0-47ff-a149-a10a00d621cd
Sarp Sarikaya,Hazal Simal Sarisozen,Turkey,Youth,Sarp_Sarikaya-00fd5001-1675-4a27-afa5-a11600db9cc6
Heinz Fruehwein,Shizuka Wardhani Walter,Germany,Senior IV,Heinz_Fruehwein-99c7bc5f-bd1e-4338-88f1-9e140159f050
Carsten Kanning,Heidemarie Kanning,Germany,Senior IV,Carsten_Kanning-3758caa2-4e69-41de-ae15-9e14015a000e
Giovanni Di Liberto,Luigia Durante,Italy,Senior III,Giovanni_Di_Liberto-0aa46a8e-cc5a-4084-99b8-9e14015e31aa
Mirko Marotta,Elisabetta Buryak,Italy,Adult,Mirko_Marotta-ab225453-8bfe-483b-be81-9e14012c91d9
Roberto Fragolini,Veronica Fardelli,Italy,Senior III,Roberto_Fragolini-aceebfdb-dc0e-4252-a1a8-a16500b40fa9
Antonio Pagliaro,Samanta Valentini,Italy,Senior I,Antonio_Pagliaro-b7784ba1-a4ec-41ac-951b-a1b700e3a5dd
Gabriele Goffredo,Anna Matus,Moldova,Adult,Gabriele_Goffredo-2d2f1d33-f822-419a-b029-9e140151c30a
Ilya Shchegolev,Ksenia Lapkina,Russian Federation,Adult,Ilya_Shchegolev-d076b619-ef81-479a-b5b2-9e14015b1d01
Rainer Schramm,Marion Schramm,Germany,Senior II,Rainer_Schramm-ca4aa816-9819-434e-b128-9edf011e1b79
Andreas Ebert,Ulrike Mittermeier,Germany,Adult,Andreas_Ebert-80c0c67f-90bb-43b1-8734-9edb00434ad1
Thomas Voss,Christine Voss,Germany,Senior III,Thomas_Voss-294f27f3-b04e-4371-b24d-9ed900433614
Siegmund Maurer,Marianne Maurer,Germany,Senior III,Siegmund_Maurer-e5160373-b28a-42bd-a10c-9ee70043955c
Michael Pfitzner,Ingeborg Pfitzner,Germany,Senior III,Michael_Pfitzner-3f6611bc-fa97-4df0-b634-9ee80043a7f2
Frank Schomann,Silke Schomann,Germany,Senior II,Frank_Schomann-36b4d13f-6485-43e0-a76b-9ee80043a7f7
Uwe Hildebrandt,Carola Binding,Germany,Senior II,Uwe_Hildebrandt-20635869-1567-4dc2-b4e8-9ee90043b470
Harald Gneiting,Elke Gneiting,Germany,Senior I,Harald_Gneiting-408901c8-4815-4ca2-a81d-9ef700e0c985
Vlad Burlan,Andreea - Livia Nedelcu,Romania,Adult,Vlad_Burlan-eb162aea-aa76-4f74-bdc4-9f600157e2aa
Johannes Sitnikow,Yana Sitnikow,Germany,Adult,Johannes_Sitnikow-89ec7f56-7609-44c3-af62-9e14012c68ce
Konstantin Kuzin,Sofia Yakimenko,Russian Federation,Adult,Konstantin_Kuzin-da63f6a9-474e-4384-b89c-9e14012f88c3
Andrei Macarie,Alexandra Constantinescu,Romania,Adult,Andrei_Macarie-3c4dca5c-1106-45bc-a397-9fcd00436777
Miroslav Serak,Lenka Serakova,Czech Republic,Senior I,Miroslav_Serak-ddfafb07-7d37-4679-91f9-9f970034a4fc
Mikhail Tsoy,Sofia Kravchenko,Russian Federation,Adult,Mikhail_Tsoy-3897fe9e-44f8-487c-9060-9f9f004415e5
Pawel Furman,Marcelina Kania,Poland,Adult,Pawel_Furman-a9f91a50-e364-4398-8faf-a1b80080d092
Simone Capponi,Andrea Bugliano,Italy,Adult,Simone_Capponi-878c321a-f1e2-4ce8-bf84-a18d00a70c50
Fannar Orvarsson,Maren Jonasardottir,Iceland,Adult,Fannar_Orvarsson-98dc5549-f18c-4629-a927-9e14012bc3b0
Mieszko Maslowski,Agata Faber,Poland,Youth,Mieszko_Maslowski-070d5b58-26a8-4c3c-a1ac-a12c0043a722
Alessio Anastasio,Martina Orassi,Italy,Adult,Alessio_Anastasio-93dd441a-e164-4b1e-b518-a19c00da0b4f
Wojciech Sar,Monika Pasek,Poland,Adult,Wojciech_Sar-9331423b-8cde-4b8c-bb60-9e1401347f85
Matteo Del Gaone,Kristiina Reinfeldt,Estonia,Adult,Matteo_Del_Gaone-fadc11f2-6703-4172-92b4-9f530043b160
Angelo Sica,Roberta Bove,Italy,Senior II,Angelo_Sica-60107b1b-f6f1-457a-9c36-9e14015f2d61
Juan Manuel Gomez,Marina Mangione,Spain,Adult,Juan_Manuel_Gomez-942c8662-9665-47c8-9118-9fbc0044528b
Roberto Furlan,Daniela Sattin,Italy,Senior III,Roberto_Furlan-c862aed7-893f-444b-bd66-a18800b38e98
Alexey Trifonov,Tatiana Sizykh,Russian Federation,Adult,Alexey_Trifonov-5a7d798f-6f6e-4aa4-a255-9fcf00437a7d
Peter Bruntsch,Ines Bruntsch,Germany,Senior II,Peter_Bruntsch-4adb9248-37b3-4aea-a7b4-9f0b00436cc0
Andre Grossmann,Claudia Grossmann,Germany,Adult,Andre_Grossmann-2397cb94-6384-47bc-a45c-9f0b00436efb
Thomas Liesem,Christine Liesem,Germany,Senior III,Thomas_Liesem-aa34fd52-0530-4b26-992c-9f0b00436f00
Juergen Pleszewski,Baerbel Pleszewski,Germany,Senior IV,Juergen_Pleszewski-6abea223-3c21-4216-9084-9f0b00436f09
Harald Fried,Caroline Fried,Germany,Senior III,Harald_Fried-e9575aa2-afaa-460d-aba1-9f130043a3d0
Horst Retzer,Birgit Eva Retzer,Germany,Senior II,Horst_Retzer-92db162a-01f7-4ded-8c1f-9ef700e0c9bd
Eli Kohen,Gertrud Kohen,Germany,Senior III,Eli_Kohen-b097556d-edfd-4909-b38e-9f0500433cd0
Maximilian Schneider,Lisa Kaltenbrunner,Austria,Adult,Maximilian_Schneider-2e69db8d-b51e-4678-b2c1-9f0a004357a4
Simon Gruell,Lena Hoetzendorfer,Austria,Adult,Simon_Gruell-b69dd47c-cb7a-4906-9064-9f0a004357a9
Paul Bindl,Carmen Woess,Austria,Adult,Paul_Bindl-311d2938-44cc-4562-8b2d-9f0a004357c5
Stig Bulow,Helle Marcussen,Denmark,Senior II,Stig_Bulow-942dc120-ccb5-41a1-8f5f-9f030044e7e5
Andreas Bergen,Katharina Scharova,Germany,Junior II,Andreas_Bergen-65b61afb-6c21-40d0-bca6-9efc0044a2c2
Willi Lichtenberg,Birgit Roestel,Germany,Senior III,Willi_Lichtenberg-48ef6b69-61a4-42f1-b518-9efd0044af22
Christian Hoffmann,Elizabeth Baum-Breuer,Austria,Senior III,Christian_Hoffmann-db8aa4db-8ce0-4cf5-bd14-9efe0044bdac
Gerhard Fichtinger,Heidrun Fichtinger,Austria,Senior II,Gerhard_Fichtinger-a9f3fe20-0253-4120-9ef4-9efe0044be1c
Klas Hatje,Gesa Ringe,Germany,Adult,Klas_Hatje-4bd9acc5-cc76-41bf-a1b7-9efe0044c0a7
Evgeny Oganesian,Ksenia Tolokolnikova,Russian Federation,Adult,Evgeny_Oganesian-26ccf247-aa3e-43e1-aca5-9e140138322f
Michael Hesse,Sara Wagner,Germany,Senior I,Michael_Hesse-f552cc10-b123-4274-a747-9e14015afa45
Alexandr Kirilchuk,Anna Kareva,Russian Federation,Adult,Alexandr_Kirilchuk-50e6ab36-2b1b-46e0-b4a3-9e14015c660d
Alexey Bredikhin,Daria Demenkova,Russian Federation,Adult,Alexey_Bredikhin-e53f1c34-aa10-4d2f-9eaf-9e14012b7ded
Roberto Lujan Vidal,Laura Escriva Llorens,Spain,Adult,Roberto_Lujan_Vidal-5a9d803a-61ea-43cf-8b33-9e14012b233c
Kirill Cherniaev,Karolina Usikova,Russian Federation,Adult,Kirill_Cherniaev-13b38da0-90e0-4aa5-8d93-9e140128e3bc
Stephan Broemmel,Ildiko Roesener,Germany,Senior II,Stephan_Broemmel-1f7a1d85-8e52-4586-8278-9e1401300065
Andrey Ivanov,Anna Ivanova,Montenegro,Senior II,Andrey_Ivanov-e40e0145-9623-4294-8e7f-9f600157e256
Jan Nemarnik,Nika Karacic,Croatia,Juvenile II,Jan_Nemarnik-badcdaa0-b85e-4cf3-bcb9-a1030043b9ae
Ferdinand Bramini,Helena Moioli,Italy,Senior IV,Ferdinand_Bramini-dce31feb-e83f-42ec-a195-a17300ad4593
Andrea Mireti,Simona Barneschi,Italy,Senior I,Andrea_Mireti-b55e834f-1da0-4485-8610-a1a100abeda4
Domenico Bucci,Daniela Borgognoni,Italy,Senior III,Domenico_Bucci-6b38ace4-7712-44c5-a7ae-a16b00f42ffb
Marco Pigna,Alessia Alunno,Italy,Adult,Marco_Pigna-d5e11281-841f-4a21-b658-9e14015303a4
Peter Hemmelmayr,Andrea Hemmelmayr,Austria,Senior II,Peter_Hemmelmayr-8ceffe69-173c-41a5-b8e8-9efd0044ad1b
Dariusz Jablonski,Magdalena Michniuk,Poland,Adult,Dariusz_Jablonski-d4129f72-2959-4b16-95b3-9e140134389b
Gabor Kovacs,Sasja Handberg,Denmark,Adult,Gabor_Kovacs-4cb706aa-5dbf-41ad-88ec-9e14016030c1
Wieslaw Jankowski,Maria Jankowska,Poland,Senior II,Wieslaw_Jankowski-040bfdfa-6a38-4e50-bfa3-a10d0043c179
Earle Williamson,Charlotte Christiansen,United States,Adult,Earle_Williamson-59dab5ac-ecfa-4466-a0a6-9e14012434ef
David Odstrcil,Tara Bohak,Czech Republic,Adult,David_Odstrcil-da4f603d-86cd-43fd-94ad-9e140120b18c
Dirk Dietrich,Kira Neller,Germany,Senior II,Dirk_Dietrich-c05ac155-d7e0-4ec7-91e8-9e14012edc9b
David Wong,Maybo Yee,Canada,Senior IV,David_Wong-4b9f0f50-f847-4e35-b667-9f17004350c5
Martin le Claire,Marion le Claire,Germany,Senior III,Martin_le_Claire-e2cf4eff-5ce9-4c89-9119-9f1b00436f56
Thomas Kienzle,Jasmin Kienzle,Germany,Senior II,Thomas_Kienzle-53dcecf5-cc3f-4889-a384-9f1b00437117
Roman Zetka,Radmila Sevcikova,Czech Republic,Senior III,Roman_Zetka-fc178aed-5aa8-4f19-8b66-9f2700437600
Konrad Dostal,Lydia Maderthaner,Austria,Adult,Konrad_Dostal-46e8e282-e391-4a59-8132-9f2d00439807
Jens Langmann,Ellen Langmann,Germany,Senior III,Jens_Langmann-4dfdcf64-af3e-4e5d-91f3-9e1401377b18
Nikita Ivanov,Maria Papoyan,Russian Federation,Adult,Nikita_Ivanov-3e3a376d-21e3-4220-8906-a07b004372d0
Dario Scuderi,Valentina Fiorini,Italy,Adult,Dario_Scuderi-225d9002-207a-4dc4-b6fe-9e14012fd4bd
Jose Manuel Fernandez Gonzalez,Anastasia Zhitova,Spain,Adult,Jose_Manuel_Fernandez_Gonzalez-0c44238c-037f-49eb-aef6-a14201106fba
Artem Lazarev,Amalie Stampe,Denmark,Adult,Artem_Lazarev-5573fa04-669b-401b-a54e-9f2c004379b3
Leone Albiero,Maria Fassinato,Italy,Senior III,Leone_Albiero-c1748d0e-a54d-4085-a5d5-9e14015da9a2
Paolo Cascapera,Paola Pitoni,Italy,Senior III,Paolo_Cascapera-06d8ee8d-4ae7-4b5b-b921-a1b200a4f769
Boris Peyss,Lisa-Marie Bauer,Germany,Adult,Boris_Peyss-5240dd8d-b8d4-4789-ad59-9e140136ff34
Dominik Bondarev,Irina Shaskowa,Germany,Adult,Dominik_Bondarev-1102072c-adcf-4518-9310-9e14013404b9
Heiko Schlage,Bettina Schlage,Germany,Senior II,Heiko_Schlage-bb352b3c-e9b8-4cfe-8de7-9f4f0043e1e7
Dietmar Abel,Annette Abel,Germany,Senior III,Dietmar_Abel-16ec1f5c-ba13-43d0-a1ba-9f41004371eb
Jens Lotz,Sina Turpin,Germany,Senior I,Jens_Lotz-5e7cd8e9-1727-4cb6-b0d6-9f4100437358
Dmitry Lugin,Daria Tkachenko,Russian Federation,Adult,Dmitry_Lugin-46b83f99-3daa-45da-9b34-9e960086d47f
Ionut Alexandru Miculescu,Andra Pacurar,Romania,Adult,Ionut_Alexandru_Miculescu-90078893-486c-4502-ae69-9e9100b1f5d8
Alexey Kostenkov,Evgenia Novozhilova,Russian Federation,Adult,Alexey_Kostenkov-32d8e1c9-bb15-4db5-b76a-9e14016023a1
Jascha Alteruthemeyer,Esther Lammel,Germany,Adult,Jascha_Alteruthemeyer-f771cfa5-abbd-4df5-83ab-9e14016054c5
Sergey Kliuev,Elizaveta Ryzhkova,Russian Federation,Adult,Sergey_Kliuev-89ca9921-8e04-46c3-aae4-9e14012f1704
Bogdan Ianosi,Stefanie Pavelic,Croatia,Adult,Bogdan_Ianosi-315c8142-0b7a-49e0-908c-9e14012ae729
Matti Kaksonen,Silja Rantala,Finland,Adult,Matti_Kaksonen-f82f3349-03a3-4380-b541-9e1401312543
Gerhard Kemper,Tynke Spoelstra,Germany,Senior II,Gerhard_Kemper-8687cb02-1981-46c1-be7a-9e14015a0171
Erik Ryban,Barbara Stanova,Slovakia,Adult,Erik_Ryban-861cfc02-8d45-4573-b922-9e14012e347e
Maximilian Polosatov,Olga Khvesko,Russian Federation,Adult,Maximilian_Polosatov-3ac61586-66d9-4037-a6f9-9e14012e3cb8
Sergey Rodin,Anna Shorina,Russian Federation,Adult,Sergey_Rodin-30261339-2d50-4af7-a936-9e14012dc01d
David Kocharian,Olga Kolpakova,Russian Federation,Adult,David_Kocharian-9ec34b5f-7df9-4596-bf5c-9e14012f413f
Stanislav Mikhaylichenko,Olga Nechaeva,Russian Federation,Adult,Stanislav_Mikhaylichenko-4ca64a6e-ef44-46c9-a967-9e14012f68cf
Andrew Marolt,Nina Vrhovnik,Slovenia,Adult,Andrew_Marolt-62b290a4-e847-4cf2-be10-9e14013014b5
Roman Mikin,Tatiana Voylokova,Russian Federation,Adult,Roman_Mikin-2874fd92-1c52-409c-bfea-9e14012b175a
Arjan Mondria,Judith Martens,Netherlands,Adult,Arjan_Mondria-5e70740a-40cd-4137-9c2e-9e1401205bae
Filip Swetik,Lenka Kominkova,Czech Republic,Adult,Filip_Swetik-8081978e-febf-448c-a308-9e1401211760
Zsombor Balazs,Adelina Youssef,Hungary,Adult,Zsombor_Balazs-742be440-f987-4384-a4b0-9e14012149e7
Ondrej Galecka,Monika Zemanova,Czech Republic,Adult,Ondrej_Galecka-6bfb2d12-1b3b-4493-a4ac-9e140121c49c
Artem Morozov,Serafima Lebedeva,Russian Federation,Adult,Artem_Morozov-01a0ea68-f33f-43ec-8350-9e140125632e
